TRACR3D Conservative Tracer - Concentration vs time
X_coordinates  0.175000000E+02 0.275000000E+02 0.375000000E+02 0.475000000E+02 0.575000000E+02 0.675000000E+02
Y_coordinates  0.225000000E+02 0.325000000E+02 0.425000000E+02 0.525000000E+02 0.625000000E+02 0.725000000E+02
Z_coordinates  0.975000000E+02 0.825000000E+02 0.625000000E+02 0.425000000E+02 0.225000000E+02 0.250000000E+01
Time yrs	Position 1	Position 2	Position 3	Position 4	Position 5	Position 6
2780	0.0080481	0.048749	0.23475	0.010781	4.9602e-05	5.7713e-07
2790	0.0079581	0.048219	0.2346	0.010999	5.1632e-05	6.0992e-07
2800	0.0078695	0.047696	0.23444	0.011219	5.3733e-05	6.4438e-07
2810	0.0077821	0.047181	0.23428	0.011442	5.5905e-05	6.8057e-07
2820	0.007696	0.046673	0.23409	0.011668	5.8151e-05	7.1857e-07
2830	0.0076111	0.046172	0.2339	0.011896	6.0474e-05	7.5845e-07
2840	0.0075275	0.045678	0.23369	0.012127	6.2874e-05	8.0031e-07
2850	0.0074451	0.045192	0.23348	0.01236	6.5354e-05	8.4421e-07
2860	0.0073638	0.044711	0.23325	0.012596	6.7916e-05	8.9026e-07
2870	0.0072837	0.044238	0.23301	0.012835	7.0563e-05	9.3854e-07
2880	0.0072048	0.043771	0.23276	0.013076	7.3296e-05	9.8914e-07
2890	0.0071269	0.043311	0.23251	0.01332	7.6117e-05	1.0422e-06
2900	0.0070501	0.042856	0.23224	0.013567	7.903e-05	1.0977e-06
2910	0.0069745	0.042408	0.23196	0.013816	8.2036e-05	1.1559e-06
2920	0.0068998	0.041967	0.23167	0.014067	8.5137e-05	1.2168e-06
2930	0.0068263	0.041531	0.23137	0.014321	8.8336e-05	1.2805e-06
2940	0.0067537	0.041101	0.23107	0.014578	9.1635e-05	1.3473e-06
2950	0.0066821	0.040677	0.23075	0.014837	9.5037e-05	1.417e-06
2960	0.0066115	0.040258	0.23042	0.015099	9.8544e-05	1.49e-06
2970	0.0065419	0.039845	0.23009	0.015363	0.00010216	1.5663e-06
2980	0.0064733	0.039438	0.22975	0.01563	0.00010588	1.6461e-06
2990	0.0064055	0.039036	0.2294	0.015899	0.00010972	1.7294e-06
3000	0.0063387	0.03864	0.22904	0.016171	0.00011367	1.8165e-06
3010	0.0062728	0.038249	0.22867	0.016445	0.00011775	1.9075e-06
3020	0.0062078	0.037863	0.22829	0.016722	0.00012194	2.0024e-06
3030	0.0061436	0.037481	0.22791	0.017001	0.00012625	2.1016e-06
3040	0.0060803	0.037105	0.22752	0.017282	0.0001307	2.2051e-06
3050	0.0060179	0.036734	0.22712	0.017566	0.00013527	2.313e-06
3060	0.0059562	0.036368	0.22671	0.017853	0.00013997	2.4256e-06
3070	0.0058954	0.036006	0.2263	0.018141	0.00014481	2.5431e-06
3080	0.0058354	0.03565	0.22588	0.018432	0.00014978	2.6655e-06
3090	0.0057762	0.035297	0.22545	0.018725	0.0001549	2.7932e-06
3100	0.0057178	0.034949	0.22502	0.019021	0.00016016	2.9262e-06
3110	0.0056601	0.034606	0.22458	0.019319	0.00016557	3.0648e-06
3120	0.0056031	0.034267	0.22413	0.019619	0.00017112	3.2092e-06
3130	0.0055469	0.033932	0.22368	0.019922	0.00017683	3.3595e-06
3140	0.0054915	0.033602	0.22322	0.020227	0.0001827	3.516e-06
3150	0.0054367	0.033276	0.22276	0.020533	0.00018872	3.6789e-06
3160	0.0053826	0.032954	0.22229	0.020843	0.00019491	3.8484e-06
3170	0.0053293	0.032636	0.22181	0.021154	0.00020126	4.0248e-06
3180	0.0052766	0.032322	0.22133	0.021468	0.00020779	4.2082e-06
3190	0.0052246	0.032011	0.22084	0.021783	0.00021448	4.399e-06
3200	0.0051732	0.031705	0.22035	0.022101	0.00022135	4.5974e-06
3210	0.0051225	0.031403	0.21985	0.022421	0.0002284	4.8035e-06
3220	0.0050724	0.031104	0.21935	0.022743	0.00023563	5.0178e-06
3230	0.005023	0.030809	0.21884	0.023067	0.00024305	5.2404e-06
3240	0.0049741	0.030517	0.21833	0.023393	0.00025066	5.4717e-06
3250	0.0049259	0.030229	0.21782	0.023721	0.00025846	5.7118e-06
3260	0.0048783	0.029945	0.21729	0.024051	0.00026646	5.9612e-06
3270	0.0048312	0.029664	0.21677	0.024383	0.00027466	6.22e-06
3280	0.0047848	0.029387	0.21624	0.024716	0.00028306	6.4887e-06
3290	0.0047389	0.029112	0.21571	0.025052	0.00029167	6.7675e-06
3300	0.0046936	0.028842	0.21517	0.02539	0.00030049	7.0567e-06
3310	0.0046488	0.028574	0.21463	0.025729	0.00030953	7.3566e-06
3320	0.0046046	0.02831	0.21408	0.026071	0.00031878	7.6677e-06
3330	0.0045609	0.028049	0.21353	0.026414	0.00032826	7.9902e-06
3340	0.0045178	0.02779	0.21298	0.026759	0.00033796	8.3244e-06
3350	0.0044751	0.027535	0.21242	0.027105	0.0003479	8.6709e-06
3360	0.004433	0.027283	0.21186	0.027454	0.00035807	9.0298e-06
