node ,  Permeability (m**2) in X ,  Permeability (m**2) in Y ,  Permeability (m**2) in Z ,  Porosity ,  Rock bulk density (kg/m**3) ,  Rock specific heat (MJ/kg*K) ,  Capillary pressure (MPa)
0000000037,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000038,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000039,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000040,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000041,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000042,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000043,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000044,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000045,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000046,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000047,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000048,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000049,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000050,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000051,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000052,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000053,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000054,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000055,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000056,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000057,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000058,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000059,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000060,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000061,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000062,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000063,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000064,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000065,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000066,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000067,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000068,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000069,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000070,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000071,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000072,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000073,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000074,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000075,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000076,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000077,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000078,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000079,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000080,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000081,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000082,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000083,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000084,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000085,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000086,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000087,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000088,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000089,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000090,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000091,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000092,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000093,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000094,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000095,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000096,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000097,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000098,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000099,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000100,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000101,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000102,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000103,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000104,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000105,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000106,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000107,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000108,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000109,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000110,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000111,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000112,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000113,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000114,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000115,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000116,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000117,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000118,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000119,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000120,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000121,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000122,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000123,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000124,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000125,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000126,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000127,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000128,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000129,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000130,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000131,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000132,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000133,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000134,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000135,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000136,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000137,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000138,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000139,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000140,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000141,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000142,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000143,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000144,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000145,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000146,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000147,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000148,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000149,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000150,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000151,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000152,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000153,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000154,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000155,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000156,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000157,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000158,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000159,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000160,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000161,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000162,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000163,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000164,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000165,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000166,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000167,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000168,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000169,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000170,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000171,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000172,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000173,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000174,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000175,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000176,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000177,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000178,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000179,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000180,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000181,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000182,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000183,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000184,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000185,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000186,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000187,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000188,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000189,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000190,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000191,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000192,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000193,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000194,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000195,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000196,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000197,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000198,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000199,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000200,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000201,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000202,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000203,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000204,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000205,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000206,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000207,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000208,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000209,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000210,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000211,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000212,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000213,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000214,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000215,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000216,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000217,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
0000000218,    1.000000E-15,    1.000000E-15,    1.000000E-16,    0.100000    ,     2500.00    ,    1.000000E-03,     0.00000
