node,Temperature (deg C)
693,160.165911
694,160.166802
695,160.167695
696,160.168592
697,160.169492
698,160.170395
699,160.171302
700,160.172212
701,160.173126
702,160.174043
703,160.174963
704,160.175886
705,160.176813
706,160.177744
707,160.178677
708,160.179615
709,160.180555
710,160.181499
711,160.182446
712,160.183397
713,160.184351
714,160.185309
715,160.18627
716,160.187235
717,160.188203
718,160.189174
719,160.190149
720,160.1911
721,160.318639
722,160.49501
723,160.722487
724,161.003191
725,161.33698
726,161.721438
727,162.152015
728,162.622291
729,163.12435
730,163.649223
731,164.187363
732,164.729126
733,165.26522
734,165.787088
735,166.287225
736,166.759394
737,167.198759
738,167.601922
739,167.966883
740,168.292937
741,168.580513
742,168.830993
743,169.046504
744,169.229715
745,169.383644
746,169.511487
747,169.616465
748,169.701711
749,169.770178
750,169.824576
751,169.867338
752,169.900602
753,169.926209
754,169.945722
755,169.960441
756,169.971434
757,169.979563
758,169.985516
759,169.989833
760,169.992934
761,169.99514
762,169.996695
763,169.997781
764,169.998531
765,169.999045
766,169.999394
767,169.999628
768,169.999783
769,169.999885
770,169.999951
771,169.999993
772,170.000019
773,170.000035
774,170.000044
775,170.000049
776,170.000051
777,170.000051
778,170.000051
779,170.000049
780,170.000048
781,170.000046
782,170.000044
783,170.000042
784,170.00004
785,170.000038
786,170.000037
787,170.000035
788,170.000033
789,170.000032
790,170.00003
791,170.000029
792,170.000028
793,170.000027
794,170.000026
795,170.000025
796,170.000024
797,170.000024
798,170.000023
799,170.000023
800,170.000023
